UTC;cas;teplota;vlhkost;tlak;Usol;Isol;Psol;Ubat;Ibat;Pbat;
719107200;00:00;16.12;71.0;989.43;0.464;-0.000;0.000;3.996;-0.051;0.209;
719107500;00:05;16.14;70.7;989.34;0.464;-0.000;0.000;3.992;-0.055;0.224;
719107800;00:10;16.09;70.9;989.37;0.464;-0.000;0.000;3.992;-0.055;0.224;
719108100;00:15;16.05;71.1;989.32;0.464;0.000;0.000;3.976;-0.099;0.404;
719108400;00:20;16.08;71.1;989.22;0.468;-0.000;0.000;3.996;-0.055;0.224;
719108700;00:25;16.05;71.5;989.18;0.460;0.000;0.000;3.980;-0.101;0.411;
719109000;00:30;16.06;71.5;989.10;0.464;0.000;0.000;3.988;-0.054;0.221;
719109301;00:35;16.01;71.7;989.01;0.464;-0.000;0.000;3.992;-0.052;0.211;
719109600;00:40;16.01;71.8;988.96;0.464;-0.000;0.000;3.992;-0.054;0.221;
719109900;00:45;15.98;71.9;988.95;0.464;0.000;0.000;3.988;-0.054;0.221;
719110201;00:50;15.95;71.9;988.91;0.460;-0.000;0.000;3.992;-0.052;0.213;
719110500;00:55;15.91;72.0;988.88;0.464;-0.000;0.000;3.988;-0.052;0.213;
719110800;01:00;15.88;71.9;989.02;0.464;-0.000;0.000;3.988;-0.055;0.224;
719111100;01:05;15.91;72.1;989.03;0.464;-0.000;0.000;3.976;-0.101;0.411;
719111400;01:10;15.91;71.7;988.98;0.464;-0.000;0.000;3.984;-0.055;0.225;
719111700;01:15;15.80;71.9;988.96;0.464;0.000;0.000;3.972;-0.100;0.405;
719112000;01:20;15.65;72.5;988.93;0.464;-0.000;0.000;3.984;-0.056;0.227;
719112300;01:25;15.64;72.9;988.86;0.464;-0.000;0.000;3.988;-0.053;0.215;
719112600;01:30;15.64;72.8;988.86;0.464;0.000;0.000;3.976;-0.097;0.397;
719112900;01:35;15.63;72.6;988.82;0.464;0.000;0.000;3.984;-0.055;0.224;
719113200;01:40;15.57;72.7;988.85;0.464;-0.000;0.000;3.972;-0.100;0.407;
719113500;01:45;15.45;72.8;988.76;0.464;-0.000;0.000;3.988;-0.056;0.227;
719113800;01:50;15.38;73.2;988.72;0.468;-0.000;0.000;3.968;-0.101;0.410;
719114100;01:55;15.37;73.1;988.70;0.464;-0.000;0.000;3.968;-0.100;0.407;
719114400;02:00;15.32;73.2;988.67;0.464;-0.000;0.000;3.984;-0.052;0.213;
719114700;02:05;15.28;72.3;988.63;0.464;-0.000;0.000;3.988;-0.052;0.211;
719115000;02:10;15.12;72.6;988.60;0.464;-0.000;0.000;3.984;-0.052;0.213;
719115300;02:15;15.02;72.6;988.60;0.464;-0.000;0.000;3.980;-0.054;0.221;
719115600;02:20;14.87;72.9;988.52;0.464;-0.000;0.000;3.984;-0.054;0.221;
719115900;02:25;14.79;73.3;988.50;0.464;-0.000;0.000;3.968;-0.098;0.399;
719116200;02:30;14.74;73.7;988.46;0.464;-0.000;0.000;3.968;-0.100;0.405;
719116500;02:35;14.73;73.9;988.37;0.464;-0.000;0.000;3.988;-0.052;0.213;
719116800;02:40;14.72;73.9;988.30;0.464;-0.000;0.000;3.984;-0.052;0.211;
719117100;02:45;14.74;73.9;988.25;0.464;-0.000;0.000;3.980;-0.054;0.221;
719117400;02:50;14.76;73.9;988.24;0.464;-0.000;0.000;3.980;-0.051;0.206;
719117700;02:55;14.78;73.8;988.13;0.464;-0.000;0.000;3.984;-0.053;0.215;
719118000;03:00;14.78;73.7;987.99;0.464;0.000;0.000;3.984;-0.054;0.219;
719118300;03:05;14.79;73.8;987.93;0.464;-0.000;0.000;3.980;-0.053;0.217;
719118600;03:10;14.80;73.7;987.82;0.464;-0.000;0.000;3.980;-0.051;0.217;
719118900;03:15;14.76;73.8;987.73;0.460;-0.000;0.000;3.968;-0.097;0.394;
719119200;03:20;14.76;73.9;987.74;0.464;-0.000;0.000;3.984;-0.052;0.211;
719119500;03:25;14.73;74.0;987.78;0.464;-0.000;0.000;3.980;-0.055;0.221;
719119800;03:30;14.72;74.1;987.73;0.464;-0.000;0.000;3.980;-0.051;0.209;
719120100;03:35;14.76;74.2;987.79;0.464;-0.000;0.000;3.984;-0.052;0.211;
719120400;03:40;14.84;74.0;987.60;0.464;-0.000;0.000;3.980;-0.051;0.206;
719120700;03:45;14.90;74.1;987.55;0.468;-0.000;0.000;3.980;-0.054;0.221;
719121000;03:50;14.98;73.8;987.64;0.464;-0.000;0.000;3.980;-0.053;0.215;
719121300;03:55;14.99;73.9;987.59;0.464;-0.000;0.000;3.972;-0.060;0.246;
719121601;04:00;14.95;73.9;987.55;0.464;-0.000;0.000;3.964;-0.101;0.410;
719121900;04:05;14.96;74.2;987.52;0.464;-0.000;0.000;3.980;-0.052;0.211;
719122200;04:10;15.00;74.2;987.42;0.464;0.000;0.000;3.980;-0.052;0.211;
719122500;04:15;14.99;74.3;987.42;0.464;-0.000;0.000;3.976;-0.054;0.221;
719122800;04:20;14.98;74.4;987.55;0.464;0.000;0.000;3.976;-0.055;0.224;
719123100;04:25;15.17;75.5;987.41;0.464;-0.000;0.000;3.960;-0.098;0.399;
719123400;04:30;16.17;73.0;987.30;0.464;-0.000;0.000;3.976;-0.055;0.225;
719123700;04:35;17.06;70.7;987.18;0.468;-0.000;0.000;3.976;-0.052;0.211;
719124000;04:40;17.68;68.9;987.09;0.464;-0.000;0.000;3.976;-0.055;0.224;
719124300;04:45;18.15;67.7;987.03;0.468;0.000;0.000;3.976;-0.055;0.224;
719124600;04:50;18.46;66.8;987.00;0.468;-0.000;0.000;3.976;-0.055;0.225;
719124900;04:55;18.67;66.2;986.84;0.464;-0.000;0.000;3.972;-0.054;0.221;
719125200;05:00;18.83;65.8;986.82;0.464;-0.000;0.000;3.964;-0.097;0.395;
719125500;05:05;18.97;65.4;986.76;0.464;-0.000;0.000;3.972;-0.061;0.241;
719125800;05:10;19.06;65.0;986.77;0.464;-0.000;0.000;3.960;-0.099;0.404;
719126100;05:15;19.18;64.9;986.74;0.464;-0.000;0.000;3.972;-0.055;0.225;
719126400;05:20;19.20;64.7;986.74;0.464;-0.000;0.000;3.972;-0.055;0.224;
719126700;05:25;19.25;64.5;986.68;0.460;0.000;0.000;3.976;-0.055;0.224;
719127000;05:30;19.28;64.4;986.70;0.464;-0.000;0.000;3.976;-0.051;0.215;
719127300;05:35;19.30;64.4;986.66;0.468;-0.000;0.000;3.972;-0.052;0.213;
719127600;05:40;19.35;64.2;986.51;0.464;-0.000;0.000;3.956;-0.100;0.405;
719127900;05:45;19.37;64.2;986.44;0.464;-0.000;0.000;3.956;-0.099;0.401;
719128200;05:50;19.41;64.2;986.47;0.464;-0.000;0.000;3.972;-0.052;0.213;
719128500;05:55;19.47;64.0;986.47;0.464;-0.000;0.000;3.972;-0.052;0.213;
719128800;06:00;19.50;63.9;986.38;0.464;-0.000;0.000;3.972;-0.055;0.224;
719129100;06:05;19.54;63.7;986.38;0.468;-0.000;0.000;3.972;-0.055;0.224;
719129400;06:10;19.57;63.7;986.31;0.464;-0.000;0.000;3.972;-0.052;0.211;
719129700;06:15;19.60;63.5;986.24;0.464;0.000;0.000;3.968;-0.058;0.238;
719130000;06:20;19.61;63.4;986.31;0.468;-0.000;0.000;3.956;-0.101;0.410;
719130300;06:25;19.63;63.4;986.30;0.464;-0.000;0.000;3.968;-0.055;0.224;
719130600;06:30;19.66;63.4;986.36;0.468;-0.000;0.000;3.968;-0.055;0.224;
719130900;06:35;19.71;63.4;986.32;0.464;-0.000;0.000;3.972;-0.055;0.221;
719131200;06:40;19.71;63.4;986.45;0.464;-0.000;0.000;3.972;-0.052;0.213;
719131500;06:45;19.73;63.3;986.42;0.464;0.000;0.000;3.956;-0.100;0.405;
719131800;06:50;19.76;63.3;986.31;0.464;-0.000;0.000;3.968;-0.055;0.221;
719132100;06:55;19.77;63.2;986.43;0.464;-0.000;0.000;3.968;-0.055;0.221;
719132400;07:00;19.80;63.2;986.55;0.468;-0.000;0.000;3.968;-0.052;0.213;
719132701;07:05;19.82;63.2;986.56;0.464;-0.000;0.000;3.968;-0.052;0.213;
719133000;07:10;19.85;63.2;986.44;0.464;0.000;0.000;3.968;-0.051;0.217;
719133300;07:15;19.88;63.1;986.42;0.464;-0.000;0.000;3.964;-0.052;0.213;
719133600;07:20;19.88;63.1;986.53;0.464;-0.000;0.000;3.964;-0.055;0.221;
719133900;07:25;19.90;63.1;986.49;0.464;0.000;0.000;3.968;-0.055;0.224;
719134200;07:30;19.92;63.1;986.48;0.464;-0.000;0.000;3.964;-0.055;0.225;
719134500;07:35;19.97;63.0;986.45;0.464;-0.000;0.000;3.964;-0.055;0.224;
719134800;07:40;19.97;63.0;986.42;0.464;-0.000;0.000;3.964;-0.057;0.230;
719135100;07:45;20.02;63.2;986.49;0.464;-0.000;0.000;3.964;-0.052;0.211;
719135400;07:50;18.59;62.3;986.59;0.468;-0.000;0.000;4.192;0.783;3.359;
719135700;07:55;15.71;70.0;986.70;0.464;-0.000;0.000;4.192;0.760;3.260;
719136000;08:00;15.67;73.9;986.77;0.464;-0.001;0.000;4.192;0.753;3.237;
719136300;08:05;16.72;72.9;986.73;0.464;-0.000;0.000;4.200;0.746;3.209;
719136600;08:10;17.70;70.4;986.71;0.464;-0.000;0.000;4.200;0.730;3.141;
719136900;08:15;18.39;68.3;986.66;0.468;-0.000;0.000;4.204;0.722;3.109;
719137200;08:20;18.90;66.9;986.72;0.468;-0.000;0.000;4.208;0.712;3.070;
719137500;08:25;19.26;65.8;986.80;0.464;-0.000;0.000;4.208;0.691;2.976;
719137800;08:30;19.49;65.2;986.86;0.464;-0.000;0.000;4.216;0.693;2.988;
719138100;08:35;19.67;65.2;986.85;0.464;0.000;0.000;4.212;0.684;2.949;
719138400;08:40;19.83;65.9;986.85;0.464;-0.000;0.000;4.216;0.674;2.910;
719138700;08:45;20.00;67.3;986.91;0.464;0.000;0.000;4.220;0.667;2.884;
719139000;08:50;20.15;67.4;986.97;0.464;-0.000;0.000;4.220;0.659;2.849;
719139300;08:55;20.26;66.7;986.96;0.468;-0.000;0.000;4.224;0.651;2.814;
719139600;09:00;20.32;66.2;986.89;0.464;-0.000;0.000;4.224;0.628;2.716;
719139900;09:05;20.41;65.8;986.92;0.464;-0.000;0.000;4.224;0.623;2.697;
719140200;09:10;20.46;65.6;986.90;0.464;0.000;0.000;4.228;0.625;2.710;
719140500;09:15;20.50;65.3;986.86;0.464;-0.000;0.000;4.232;0.617;2.675;
719141323;09:28;20.70;65.8;987.02;0.456;-0.000;0.000;4.124;0.198;0.838;
719141401;09:30;20.72;65.8;987.00;0.460;-0.000;0.000;4.124;0.199;0.844;
719141700;09:35;20.81;65.8;987.07;0.464;-0.000;0.000;4.128;0.197;0.834;
719141942;09:39;20.83;65.8;987.12;0.452;-0.000;0.000;4.128;0.199;0.840;
719142001;09:40;20.85;65.8;987.16;0.460;-0.000;0.000;4.124;0.199;0.840;
719142300;09:45;20.89;65.5;987.10;0.464;-0.000;0.000;4.124;0.197;0.835;
719142600;09:50;20.90;65.3;987.13;0.464;-0.000;0.000;4.128;0.196;0.830;
719142900;09:55;20.91;65.1;987.11;0.464;0.000;0.000;4.124;0.195;0.825;
719143200;10:00;20.92;65.0;987.17;0.468;-0.000;0.000;4.128;0.192;0.811;
719143500;10:05;20.90;64.8;987.22;0.464;-0.000;0.000;4.132;0.192;0.811;
719143800;10:10;20.91;64.7;987.17;0.464;-0.000;0.000;4.128;0.190;0.805;
719144100;10:15;20.93;64.6;987.12;0.464;-0.000;0.000;4.132;0.188;0.795;
719144400;10:20;20.95;64.5;987.04;0.464;-0.000;0.000;4.128;0.186;0.786;
719144703;10:25;21.02;64.4;987.01;0.464;-0.000;0.000;4.132;0.183;0.776;
719145000;10:30;21.05;64.3;986.97;0.464;-0.000;0.000;4.132;0.184;0.779;
719145310;10:35;21.11;64.2;986.99;0.464;-0.000;0.000;4.132;0.182;0.770;
719145834;10:43;21.17;63.9;986.90;0.448;0.000;0.000;4.136;0.181;0.766;
719145901;10:45;21.17;63.9;986.90;0.456;0.000;0.000;4.136;0.178;0.756;
719146766;10:59;21.40;64.0;987.13;0.444;-0.000;0.000;4.140;0.177;0.750;
719146801;11:00;21.44;64.0;987.08;0.452;-0.000;0.000;4.136;0.180;0.761;
719147103;11:05;21.45;63.8;987.12;0.464;-0.000;0.000;4.140;0.174;0.738;
719147400;11:10;21.41;63.8;987.14;0.464;-0.000;0.000;4.140;0.172;0.727;
719147645;11:14;21.41;63.7;987.21;0.468;0.000;0.000;4.140;0.170;0.722;
719147843;11:17;21.40;63.7;987.31;0.464;0.000;0.000;4.140;0.170;0.722;
719147974;11:19;21.41;63.6;987.33;0.464;-0.000;0.000;4.140;0.170;0.721;
719148001;11:20;21.40;63.7;987.32;0.464;-0.000;0.000;4.140;0.171;0.725;
719148300;11:25;21.40;63.5;987.29;0.464;-0.000;0.000;4.140;0.168;0.713;
719148600;11:30;21.37;63.5;987.26;0.464;0.000;0.000;4.140;0.167;0.706;
719148900;11:35;21.40;63.5;987.26;0.468;-0.000;0.000;4.144;0.163;0.694;
719149200;11:40;21.39;63.4;987.35;0.464;-0.000;0.000;4.144;0.165;0.700;
719149500;11:45;21.40;63.4;987.40;0.468;0.000;0.000;4.144;0.163;0.690;
719149800;11:50;21.44;63.3;987.36;0.464;-0.000;0.000;4.148;0.160;0.680;
719150100;11:55;21.48;63.2;987.39;0.464;0.000;0.000;4.148;0.161;0.682;
719150401;12:00;21.91;62.1;987.38;0.464;-0.000;0.000;4.148;0.157;0.667;
719150700;12:05;21.84;62.1;987.35;0.464;0.000;0.000;4.148;0.156;0.661;
719151000;12:10;21.75;62.3;987.32;0.464;0.000;0.000;4.148;0.153;0.651;
719151300;12:15;21.69;62.3;987.26;0.464;-0.000;0.000;4.148;0.152;0.645;
719151600;12:20;21.67;62.4;987.18;0.464;-0.000;0.000;4.148;0.151;0.641;
719151900;12:25;21.69;62.5;987.22;0.464;-0.000;0.000;4.148;0.152;0.645;
719152200;12:30;21.75;62.3;987.27;0.468;0.000;0.000;4.152;0.148;0.626;
719152376;12:32;21.77;62.3;987.27;0.468;-0.000;0.000;4.152;0.149;0.632;
719152945;12:42;21.80;62.2;987.20;0.468;-0.000;0.000;4.152;0.147;0.625;
719153108;12:45;21.79;62.3;987.25;0.464;-0.000;0.000;4.152;0.145;0.615;
719153401;12:50;21.78;62.3;987.26;0.464;-0.000;0.000;4.152;0.146;0.619;
719153700;12:55;21.73;62.1;987.35;0.464;-0.000;0.000;4.152;0.141;0.600;
719154000;13:00;21.71;62.1;987.31;0.468;-0.000;0.000;4.152;0.141;0.597;
719154300;13:05;21.68;62.1;987.29;0.464;-0.000;0.000;4.156;0.139;0.590;
719154600;13:10;21.68;62.3;987.17;0.464;-0.000;0.000;4.152;0.138;0.590;
719154900;13:15;21.76;63.1;987.18;0.464;-0.000;0.000;4.156;0.136;0.580;
719155200;13:20;21.80;63.1;987.13;0.464;-0.000;0.000;4.156;0.136;0.577;
719155500;13:25;21.84;63.0;987.01;0.464;-0.000;0.000;4.156;0.134;0.569;
719155800;13:30;21.85;63.0;986.91;0.464;-0.000;0.000;4.156;0.133;0.564;
719156100;13:35;21.83;62.6;987.08;0.464;0.000;0.000;4.156;0.132;0.564;
719156400;13:40;21.84;62.5;987.16;0.464;-0.000;0.000;4.160;0.130;0.555;
719156700;13:45;21.90;62.6;987.17;0.468;0.000;0.000;4.160;0.129;0.551;
719157000;13:50;21.94;62.5;987.12;0.464;-0.000;0.000;4.160;0.128;0.545;
719157300;13:55;22.04;62.4;987.14;0.468;-0.000;0.000;4.160;0.126;0.539;
719157600;14:00;22.16;62.1;987.07;0.464;0.000;0.000;4.160;0.126;0.539;
719157900;14:05;22.18;61.9;987.04;0.464;-0.000;0.000;4.160;0.124;0.530;
719158200;14:10;22.16;61.8;987.04;0.468;-0.000;0.000;4.164;0.124;0.529;
719158500;14:15;22.16;61.9;987.08;0.464;-0.000;0.000;4.164;0.122;0.522;
719158800;14:20;22.08;61.8;987.13;0.464;-0.000;0.000;4.160;0.122;0.520;
719159100;14:25;22.02;61.9;987.03;0.468;-0.000;0.000;4.164;0.119;0.506;
719159400;14:30;21.99;61.9;987.00;0.464;-0.000;0.000;4.160;0.119;0.506;
719159700;14:35;21.97;62.1;986.99;0.468;-0.000;0.000;4.164;0.118;0.504;
719160000;14:40;21.98;61.8;986.97;0.464;-0.000;0.000;4.168;0.116;0.495;
719160300;14:45;21.95;61.8;986.99;0.464;-0.000;0.000;4.164;0.114;0.485;
719160600;14:50;21.95;61.8;987.04;0.464;-0.000;0.000;4.164;0.115;0.490;
719160900;14:55;21.97;61.9;987.12;0.464;-0.000;0.000;4.168;0.115;0.491;
719161200;15:00;21.98;62.2;987.15;0.464;-0.000;0.000;4.168;0.111;0.475;
719161501;15:05;22.01;62.2;987.23;0.464;-0.000;0.000;4.164;0.110;0.471;
719161800;15:10;22.01;62.1;987.45;0.464;-0.000;0.000;4.168;0.111;0.475;
719162100;15:15;21.96;62.2;987.44;0.468;-0.000;0.000;4.168;0.108;0.461;
719162400;15:20;21.98;62.0;987.32;0.464;-0.000;0.000;4.168;0.108;0.461;
719162700;15:25;22.03;61.9;987.36;0.464;-0.000;0.000;4.172;0.107;0.459;
719163000;15:30;22.04;62.0;987.25;0.464;-0.000;0.000;4.172;0.106;0.452;
719163300;15:35;22.04;61.9;987.27;0.464;0.000;0.000;4.168;0.106;0.455;
719163600;15:40;21.97;62.0;987.24;0.464;0.000;0.000;4.172;0.103;0.443;
719163900;15:45;21.93;62.0;987.19;0.464;-0.000;0.000;4.172;0.102;0.436;
719164200;15:50;21.88;61.9;987.19;0.464;0.000;0.000;4.172;0.103;0.439;
719164500;15:55;21.83;61.8;987.32;0.464;-0.000;0.000;4.168;0.101;0.432;
719164801;16:00;21.79;61.9;987.43;0.464;-0.000;0.000;4.172;0.101;0.430;
719165100;16:05;21.76;61.8;987.40;0.468;0.000;0.000;4.172;0.100;0.427;
719165400;16:10;21.71;61.8;987.48;0.468;-0.000;0.000;4.172;0.099;0.424;
719165700;16:15;21.69;61.8;987.49;0.464;-0.000;0.000;4.176;0.097;0.411;
719166000;16:20;21.69;62.1;987.52;0.464;0.000;0.000;4.176;0.096;0.410;
719166300;16:25;21.66;62.5;987.43;0.464;0.000;0.000;4.176;0.096;0.410;
719166600;16:30;21.66;62.9;987.54;0.464;-0.000;0.000;4.172;0.094;0.399;
719166900;16:35;21.65;62.7;987.56;0.464;-0.000;0.000;4.176;0.094;0.399;
719167200;16:40;21.65;62.9;987.58;0.464;0.000;0.000;4.176;0.092;0.394;
719167500;16:45;21.62;62.8;987.55;0.460;-0.000;0.000;4.176;0.092;0.395;
719167800;16:50;21.60;62.8;987.51;0.464;-0.000;0.000;4.180;0.091;0.389;
719168100;16:55;21.58;62.7;987.50;0.464;-0.000;0.000;4.176;0.089;0.381;
719168400;17:00;21.56;62.7;987.57;0.464;-0.000;0.000;4.176;0.091;0.388;
719168700;17:05;21.57;63.0;987.64;0.464;-0.000;0.000;4.176;0.088;0.375;
719169000;17:10;21.58;62.9;987.69;0.464;-0.000;0.000;4.180;0.090;0.385;
719169300;17:15;21.58;62.9;987.71;0.468;-0.000;0.000;4.180;0.088;0.375;
719169600;17:20;21.60;62.9;987.77;0.464;-0.000;0.000;4.180;0.086;0.371;
719169900;17:25;21.56;62.9;987.73;0.464;-0.000;0.000;4.180;0.085;0.365;
719170200;17:30;21.56;62.9;987.86;0.464;-0.000;0.000;4.180;0.086;0.369;
719170500;17:35;21.56;63.0;987.90;0.464;-0.000;0.000;4.180;0.084;0.360;
719170800;17:40;21.56;63.0;988.00;0.468;0.000;0.000;4.180;0.083;0.356;
719171100;17:45;21.55;63.1;987.98;0.464;-0.000;0.000;4.180;0.082;0.352;
719171251;17:47;21.53;63.1;987.98;0.464;0.000;0.000;4.176;0.083;0.356;
719171634;17:53;21.55;63.2;988.06;0.464;-0.000;0.000;4.180;0.081;0.349;
719171701;17:55;21.57;63.1;988.04;0.468;-0.000;0.000;4.184;0.081;0.349;
719171835;17:57;21.58;63.2;988.03;0.468;0.000;0.000;4.180;0.082;0.352;
719172001;18:00;21.57;63.1;988.08;0.468;-0.000;0.000;4.184;0.081;0.349;
719172300;18:05;21.62;62.8;988.17;0.464;0.000;0.000;4.184;0.079;0.340;
719172600;18:10;21.65;62.7;988.27;0.464;-0.000;0.000;4.184;0.079;0.340;
719172900;18:15;21.61;63.2;988.28;0.464;-0.000;0.000;4.184;0.079;0.338;
719173200;18:20;21.60;63.8;988.26;0.464;0.000;0.000;4.184;0.078;0.331;
719173500;18:25;21.60;64.0;988.33;0.464;-0.000;0.000;4.184;0.075;0.321;
719173800;18:30;21.60;64.0;988.40;0.464;-0.000;0.000;4.180;0.077;0.327;
719174100;18:35;21.61;64.0;988.46;0.468;-0.000;0.000;4.184;0.076;0.326;
719174400;18:40;21.60;64.1;988.63;0.464;0.000;0.000;4.184;0.074;0.317;
719174700;18:45;21.58;64.0;988.68;0.464;-0.000;0.000;4.188;0.072;0.309;
719175000;18:50;21.60;64.0;988.67;0.464;0.000;0.000;4.188;0.076;0.327;
719175300;18:55;21.62;63.9;988.63;0.464;-0.000;0.000;4.188;0.072;0.309;
719175600;19:00;21.64;63.8;988.74;0.468;0.000;0.000;4.184;0.072;0.309;
719176251;19:10;21.60;64.2;988.91;0.464;-0.000;0.000;4.188;0.071;0.302;
719176501;19:15;21.59;64.4;988.97;0.464;-0.000;0.000;4.188;0.068;0.293;
719176800;19:20;21.61;64.2;988.94;0.464;-0.000;0.000;4.184;0.068;0.293;
719177100;19:25;21.61;64.3;989.09;0.468;0.000;0.000;4.188;0.069;0.297;
719177400;19:30;21.63;64.0;989.10;0.464;0.000;0.000;4.188;0.068;0.293;
719177700;19:35;21.60;63.9;989.08;0.464;-0.000;0.000;4.188;0.066;0.283;
719178000;19:40;21.62;64.2;989.12;0.464;0.000;0.000;4.188;0.066;0.283;
719178300;19:45;21.58;64.1;989.33;0.464;0.000;0.000;4.188;0.063;0.273;
719178600;19:50;21.58;64.1;989.37;0.464;-0.000;0.000;4.188;0.065;0.279;
719178900;19:55;21.56;64.1;989.38;0.464;-0.000;0.000;4.188;0.062;0.269;
719179200;20:00;21.56;64.2;989.43;0.464;-0.000;0.000;4.188;0.063;0.270;
719179500;20:05;21.54;64.4;989.37;0.464;0.000;0.000;4.188;0.062;0.264;
719179800;20:10;21.52;64.3;989.41;0.464;0.000;0.000;4.188;0.063;0.269;
719180100;20:15;21.53;64.3;989.50;0.460;-0.000;0.000;4.192;0.061;0.263;
719180400;20:20;21.51;64.3;989.57;0.464;-0.000;0.000;4.192;0.061;0.263;
719180700;20:25;21.52;64.1;989.53;0.464;-0.000;0.000;4.188;0.059;0.253;
719181000;20:30;21.48;64.1;989.60;0.464;0.000;0.000;4.188;0.058;0.247;
719181300;20:35;21.51;64.2;989.73;0.464;-0.000;0.000;4.192;0.057;0.246;
719181600;20:40;21.50;64.1;989.77;0.464;-0.000;0.000;4.188;0.057;0.246;
719181900;20:45;21.50;64.1;989.90;0.464;-0.000;0.000;4.192;0.056;0.240;
719182200;20:50;21.50;64.1;989.95;0.464;-0.000;0.000;4.188;0.055;0.235;
719182500;20:55;21.49;64.0;990.02;0.464;-0.000;0.000;4.192;0.055;0.238;
719182800;21:00;21.50;64.1;989.97;0.464;-0.000;0.000;4.192;0.056;0.240;
719183100;21:05;21.53;64.0;989.97;0.464;-0.000;0.000;4.192;0.054;0.231;
719183400;21:10;21.51;64.0;990.03;0.464;-0.000;0.000;4.192;0.054;0.231;
719183700;21:15;21.53;64.0;990.07;0.464;-0.000;0.000;4.192;0.053;0.227;
719184000;21:20;21.48;63.4;990.11;0.464;-0.000;0.000;4.172;-0.047;0.199;
719184300;21:25;20.68;64.2;990.09;0.468;-0.000;0.000;4.164;-0.094;0.399;
719184600;21:30;20.01;65.4;990.17;0.464;-0.000;0.000;4.172;-0.049;0.209;
719184901;21:35;19.48;66.5;990.22;0.464;-0.000;0.000;4.168;-0.049;0.209;
719185200;21:40;19.25;67.0;990.27;0.460;-0.000;0.000;4.172;-0.051;0.217;
719185500;21:45;19.02;67.6;990.35;0.464;0.000;0.000;4.168;-0.050;0.215;
719185800;21:50;18.88;67.9;990.39;0.464;-0.000;0.000;4.168;-0.048;0.205;
719186100;21:55;18.79;68.1;990.45;0.464;-0.000;0.000;4.168;-0.049;0.209;
719186400;22:00;18.76;68.1;990.52;0.460;-0.000;0.000;4.164;-0.072;0.308;
719186700;22:05;18.69;68.2;990.67;0.464;0.000;0.000;4.156;-0.094;0.401;
719187000;22:10;18.63;68.4;990.72;0.464;-0.000;0.000;4.168;-0.050;0.215;
719187301;22:15;18.50;68.7;990.72;0.464;-0.000;0.000;4.156;-0.096;0.407;
719187600;22:20;18.43;68.8;990.66;0.464;-0.000;0.000;4.164;-0.049;0.206;
719187900;22:25;18.40;68.9;990.66;0.464;-0.000;0.000;4.168;-0.049;0.211;
719188200;22:30;18.31;69.2;990.69;0.464;-0.001;0.000;4.168;-0.046;0.221;
719188500;22:35;18.25;69.6;990.82;0.464;-0.000;0.000;4.164;-0.048;0.206;
719188800;22:40;18.16;70.0;990.93;0.460;-0.000;0.000;4.164;-0.044;0.189;
719189100;22:45;18.20;70.0;990.89;0.464;-0.000;0.000;4.164;-0.050;0.215;
719189400;22:50;18.17;70.0;990.74;0.464;0.000;0.000;4.164;-0.048;0.203;
719189700;22:55;18.17;70.0;990.78;0.464;0.000;0.000;4.164;-0.047;0.201;
719190000;23:00;18.11;70.1;990.86;0.464;0.000;0.000;4.164;-0.049;0.209;
719190300;23:05;17.95;70.6;990.88;0.464;-0.000;0.000;4.160;-0.049;0.209;
719190600;23:10;17.92;70.8;990.89;0.464;0.000;0.000;4.160;-0.051;0.217;
719190900;23:15;17.78;71.2;990.97;0.464;0.000;0.000;4.164;-0.046;0.195;
719191200;23:20;17.70;71.4;991.04;0.464;-0.000;0.000;4.160;-0.047;0.203;
719191500;23:25;17.96;70.8;991.03;0.464;-0.000;0.000;4.160;-0.053;0.225;
719191800;23:30;18.13;70.4;990.98;0.464;-0.000;0.000;4.160;-0.049;0.206;
719192100;23:35;18.24;70.3;990.91;0.460;0.000;0.000;4.160;-0.046;0.195;
719192400;23:40;18.16;70.3;990.96;0.464;-0.000;0.000;4.152;-0.096;0.410;
719192700;23:45;17.65;71.7;991.07;0.464;-0.000;0.000;4.152;-0.094;0.399;
719193000;23:50;17.37;72.5;991.14;0.464;-0.000;0.000;4.156;-0.048;0.205;
719193300;23:55;17.15;73.1;991.20;0.464;-0.000;0.000;4.160;-0.047;0.221;
